Fecha,2026-03-31 21:04:47
Archivo de órdenes,/ros2_ws/src/mission/orders_12_Bogota.json
"Referencia (lat,lon)","4.701600, -74.146900"

Métrica,Ruta secuencial,Ruta optimizada,Mejora (%)
Distancia total (m),58950042.11,37958149.74,35.61
Tiempo estimado (s),11790008.42,7591629.95,35.61
Consumo batería (%),5895.00,3795.81,35.61
Eficiencia (m/s),5.00,5.00,0.00

Orden óptimo (IDs)
4,"Cra. 91 N° 147-55 Lcs 11, Bogota"
5,"CALLE 153 96-42 Suba, Bogota"
3,"Transversal. 6 N ° 27-10 Oficina 701, Bogota"
9,"CL 65 A SUR NO 11 A ESTE 56, Bogota"
11,"CL 34 BIS SUR 95A 70 IN 8 CA 20, Bogota"
10,"CL 45C 1A 14, Bogota"

"Waypoints locales (x,y) - Orden original"
3,74703.50,33595.99,"Transversal. 6 N ° 27-10 Oficina 701, Bogota"
4,6855.59,3771.18,"Cra. 91 N° 147-55 Lcs 11, Bogota"
5,6613.12,5264.86,"CALLE 153 96-42 Suba, Bogota"
9,10121423.52,7130738.28,"CL 65 A SUR NO 11 A ESTE 56, Bogota"
10,9571.26,-7748.28,"CL 45C 1A 14, Bogota"
11,16913862.25,1945640.57,"CL 34 BIS SUR 95A 70 IN 8 CA 20, Bogota"
